room,device,topic,status,icon,location
1,1,room1/2,OFF,TubeLight,Inside TubeLight
1,2,room1/3,OFF,Bedlamp,Bedlamp
1,3,room1/4,OFF,
1,4,room1/5,OFF,
1,5,room1/6,OFF,CeilingLamp,Warm CeilingLamp
1,6,room1/7,OFF,CeilingFan,Inside CeilingFan
1,7,room1/8,OFF,
1,8,room1/9,OFF,CeilingLamp,White CeilingFan
1,9,room1/a,OFF,CeilingFan,Outside CeilingFan
1,10,room1/b,OFF,FocusLights,FocusLights
1,11,room1/c,OFF,TubeLight,Outside TubeLight
1,12,room1/d,OFF,Bathroom,Bathroom
1,13,room1/e,OFF,
1,14,room1/f,OFF,Bulb,Bulb
2,1,room2/2,OFF,CeilingFan,Outside CeilingFan
2,2,room2/3,OFF,LedStrip,LedStrip
2,3,room2/4,OFF,Bedlamp,Bedlamp
2,4,room2/5,OFF,
2,5,room2/6,OFF,CeilingLamp,Warm CeilingLamp
2,6,room2/7,OFF,
2,7,room2/8,OFF,TubeLight,TubeLight
2,8,room2/9,OFF,CeilingFan,Inside CeilingFan
2,9,room2/a,OFF,FocusLights,FocusLights
2,10,room2/b,OFF,Bulb,Bulb
2,11,room2/c,OFF,TubeLight,TubeLight
2,12,room2/d,OFF,Bathroom,Bathroom
2,13,room2/e,OFF,Bathroom,Bathroom
2,14,room2/f,OFF,Bulb,Bulb
